village_id,village_name,latitude,longitude,crop_type,detected_disease,temperature,humidity,rainfall,wind_speed,previous_outbreak_count,distance_from_infected_village,spread_risk_level
V001,Indore 1,29.8971,70.2506,Cotton,Late Blight,21.4,63.2,35.8,7.5,2,39.9,High
V002,Jabalpur 2,24.7218,74.8871,Cotton,Leaf Spot,30.2,59.3,33.0,5.5,1,47.0,Medium
V003,Sidhi 3,29.6511,81.6262,Corn,Bacterial Spot,24.1,67.1,12.7,4.8,1,28.0,Medium
V004,Devgarh 4,23.4688,80.4694,Tomato,Leaf Spot,30.4,88.8,8.1,14.8,4,23.1,High
V005,Tikamgarh 5,21.3842,81.207,Potato,Leaf Spot,24.9,71.9,47.2,17.8,0,23.7,Medium
V006,Panna 6,27.3709,70.9613,Tomato,Powdery Mildew,21.9,43.6,18.4,15.2,3,42.3,Medium
V007,Panna 7,26.2813,71.3779,Soybean,Downy Mildew,30.8,67.0,27.8,4.9,0,35.3,Low
V008,Sehore 8,27.0824,74.6308,Rice,Late Blight,31.9,50.8,28.5,15.1,3,8.7,High
V009,Khandwa 9,28.0852,81.5132,Tomato,Powdery Mildew,34.4,88.3,28.2,4.9,2,33.6,Medium
V010,Anuppur 10,28.2365,81.9402,Cotton,Bacterial Spot,30.2,73.2,5.9,15.1,5,15.8,Medium
V011,Balaghat 1,22.0666,82.1988,Cotton,Late Blight,33.8,52.1,0.6,14.8,3,33.3,Medium
V012,Khandwa 2,29.172,78.0078,Potato,Early Blight,27.4,56.7,18.0,6.3,2,40.1,Medium
V013,Damoh 3,27.1639,79.3096,Rice,Late Blight,18.5,77.1,2.6,18.4,3,30.0,Medium
V014,Gwalior 4,27.6932,82.5938,Corn,Late Blight,30.1,84.6,22.4,17.6,2,48.4,Medium
V015,Chhindwara 5,27.3193,77.7712,Soybean,Downy Mildew,29.6,85.4,39.1,2.9,5,5.1,High
V016,Jhansi 6,21.2457,84.7386,Cotton,Powdery Mildew,26.7,81.1,3.3,5.1,0,47.6,Medium
V017,Chhindwara 7,22.6997,79.7995,Rice,Late Blight,25.6,62.2,18.3,16.5,5,42.4,Medium
V018,Anuppur 8,25.3407,80.0594,Corn,Bacterial Spot,20.0,53.0,20.4,6.2,3,44.9,High
V019,Anuppur 9,28.8973,80.2357,Cotton,Common Rust,32.2,87.0,7.8,3.1,3,38.0,Medium
V020,Sehore 10,22.5016,77.1448,Rice,Bacterial Spot,18.7,82.5,16.1,3.3,5,35.6,Medium
V021,Chhatarpur 1,22.2254,70.5572,Wheat,Powdery Mildew,21.4,59.3,31.5,8.5,5,49.0,High
V022,Bhopal 2,25.9477,79.4314,Corn,Early Blight,32.9,44.7,39.4,17.7,0,12.8,Low
V023,Hoshangabad 3,26.8072,79.5881,Cotton,Late Blight,24.8,74.6,24.2,9.0,4,41.5,High
V024,Satna 4,28.9303,75.7441,Soybean,Powdery Mildew,21.9,40.4,45.3,6.6,0,30.8,Medium
V025,Sagar 5,28.7354,71.2934,Cotton,Leaf Spot,22.6,65.7,6.4,5.5,5,0.9,High
V026,Sagar 6,25.6745,81.4993,Wheat,Common Rust,27.0,42.0,9.0,11.0,1,27.1,Medium
V027,Indore 7,20.5326,77.3464,Tomato,Anthracnose,18.7,58.5,20.0,5.8,1,35.7,Medium
V028,Dindori 8,25.4831,82.4,Rice,Powdery Mildew,22.9,55.9,22.7,11.3,4,48.2,High
V029,Indore 9,24.6198,71.3074,Cotton,Anthracnose,20.5,61.9,45.3,4.1,3,5.8,High
V030,Panna 10,21.0706,76.9971,Potato,Anthracnose,31.2,58.5,10.8,11.3,4,43.2,Medium
V031,Sehore 1,23.2673,80.3254,Rice,Leaf Spot,18.7,52.4,40.9,3.7,5,31.5,Medium
V032,Indore 2,29.2967,76.6379,Rice,Bacterial Spot,19.0,65.8,31.6,8.8,3,33.5,High
V033,Anuppur 3,20.6869,77.7649,Rice,Anthracnose,31.2,68.8,29.7,7.2,2,1.3,High
V034,Sehore 4,20.2504,81.3721,Corn,Common Rust,20.1,72.2,32.1,18.5,4,20.8,High
V035,Hoshangabad 5,28.275,79.8499,Cotton,Common Rust,34.6,43.5,12.3,13.0,2,43.0,Medium
V036,Bhopal 6,20.4989,84.6743,Rice,Common Rust,34.4,52.3,8.3,7.6,3,18.0,Medium
V037,Tikamgarh 7,21.1811,71.7691,Rice,Late Blight,31.4,56.8,24.1,19.0,3,4.2,High
V038,Jhansi 8,26.8001,72.5238,Cotton,Common Rust,24.5,61.6,6.7,19.8,4,47.5,Medium
V039,Gwalior 9,23.8473,73.5736,Soybean,Anthracnose,22.6,61.8,0.4,14.4,5,36.6,High
